brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,clean_title_missing,vehicle_age,milage_bin,brand_model,log_price,model_year_milage,brand_model_year,brand_milage,fuel_type_milage,brand_clean_title_missing,fuel_type_clean_title_missing,accident_clean_title_missing,brand_fuel_type,accident_clean_title
Chevrolet,Tahoe Premier,2020,137000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,46000,0,4,100k-150k,Chevrolet_Tahoe Premier,10.736396675471232,276740000,Chevrolet_2020,Chevrolet_137000,Gasoline_137000,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Ferrari,F430 Berlinetta,2005,38686,Gasoline,483.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,99999,0,19,<50k,Ferrari_F430 Berlinetta,11.512915464920228,77565430,Ferrari_2005,Ferrari_38686,Gasoline_38686,Ferrari_0,Gasoline_0,None reported_0,Ferrari_Gasoline,None reported_Yes
Ford,F-250 Platinum,2022,6600,Gasoline,430.0HP 7.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,72900,0,2,<50k,Ford_F-250 Platinum,11.19684391799675,13345200,Ford_2022,Ford_6600,Gasoline_6600,Ford_0,Gasoline_0,At least 1 accident or damage reported_0,Ford_Gasoline,At least 1 accident or damage reported_Yes
Mercedes-Benz,SLK-Class SLK280 Roadster,2007,67200,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,11500,0,17,50k-100k,Mercedes-Benz_SLK-Class SLK280 Roadster,9.350102314351341,134870400,Mercedes-Benz_2007,Mercedes-Benz_67200,Gasoline_67200,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Porsche,Macan,2021,16554,Gasoline,2.0 Liter,Automatic,White,Beige,None reported,Unknown,51698,1,3,<50k,Porsche_Macan,10.853174375028711,33455634,Porsche_2021,Porsche_16554,Gasoline_16554,Porsche_1,Gasoline_1,None reported_1,Porsche_Gasoline,None reported_Unknown
BMW,X5 PHEV xDrive45e,2023,15736,Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,Brown,None reported,Yes,67900,0,1,<50k,BMW_X5 PHEV xDrive45e,11.125791313546788,31833928,BMW_2023,BMW_15736,Plug-In Hybrid_15736,BMW_0,Plug-In Hybrid_0,None reported_0,BMW_Plug-In Hybrid,None reported_Yes
Mercedes-Benz,E-Class E500,2005,153460,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Gold,At least 1 accident or damage reported,Yes,5800,0,19,150k-200k,Mercedes-Benz_E-Class E500,8.66561319653451,307687300,Mercedes-Benz_2005,Mercedes-Benz_153460,Gasoline_153460,Mercedes-Benz_0,Gasoline_0,At least 1 accident or damage reported_0,Mercedes-Benz_Gasoline,At least 1 accident or damage reported_Yes
Acura,TL 3.7,2012,70000,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,15051,0,12,50k-100k,Acura_TL 3.7,9.619199713152362,140840000,Acura_2012,Acura_70000,Gasoline_70000,Acura_0,Gasoline_0,At least 1 accident or damage reported_0,Acura_Gasoline,At least 1 accident or damage reported_Yes
Hyundai,Equus Signature,2011,143898,Gasoline,378.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Brown,None reported,Yes,9950,0,13,100k-150k,Hyundai_Equus Signature,9.205327830152639,289378878,Hyundai_2011,Hyundai_143898,Gasoline_143898,Hyundai_0,Gasoline_0,None reported_0,Hyundai_Gasoline,None reported_Yes
Mercedes-Benz,SL-Class SL500 Roadster,2003,26190,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,22000,0,21,<50k,Mercedes-Benz_SL-Class SL500 Roadster,9.998797732340453,52458570,Mercedes-Benz_2003,Mercedes-Benz_26190,Gasoline_26190,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Toyota,Land Cruiser Base,2000,209193,Gasoline,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,15900,0,24,>200k,Toyota_Land Cruiser Base,9.674074388208323,418386000,Toyota_2000,Toyota_209193,Gasoline_209193,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
RAM,2500 Big Horn,2018,27839,Gasoline,6.4L V8 16V MPFI OHV,6-Speed Automatic,Granite Crystal Clearcoat Metallic,Diesel Gray / Black,None reported,Yes,41688,0,6,<50k,RAM_2500 Big Horn,10.637968596589051,56179102,RAM_2018,RAM_27839,Gasoline_27839,RAM_0,Gasoline_0,None reported_0,RAM_Gasoline,None reported_Yes
Chevrolet,Silverado 2500 WT,2018,141195,E85 Flex Fuel,6.0L V8 16V MPFI OHV Flexible Fuel,6-Speed Automatic,Summit White,Dark Ash,No,Unknown,28499,1,6,100k-150k,Chevrolet_Silverado 2500 WT,10.257624277921856,284931510,Chevrolet_2018,Chevrolet_141195,E85 Flex Fuel_141195,Chevrolet_1,E85 Flex Fuel_1,No_1,Chevrolet_E85 Flex Fuel,No_Unknown
Porsche,Macan S,2022,20250,Gasoline,375.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Beige,None reported,Yes,68500,0,2,<50k,Porsche_Macan S,11.134589024250317,40945500,Porsche_2022,Porsche_20250,Gasoline_20250,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
Jeep,Grand Cherokee L Limited,2022,18333,Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,Unknown,41599,1,2,<50k,Jeep_Grand Cherokee L Limited,10.635831407498888,37069326,Jeep_2022,Jeep_18333,Gasoline_18333,Jeep_1,Gasoline_1,None reported_1,Jeep_Gasoline,None reported_Unknown
Mercedes-Benz,E-Class E 350,2014,35000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,Yes,29998,0,10,<50k,Mercedes-Benz_E-Class E 350,10.308885991755306,70490000,Mercedes-Benz_2014,Mercedes-Benz_35000,Gasoline_35000,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Dodge,Magnum Base,2006,133255,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,4000,0,18,100k-150k,Dodge_Magnum Base,8.294049640102028,267309530,Dodge_2006,Dodge_133255,Gasoline_133255,Dodge_0,Gasoline_0,None reported_0,Dodge_Gasoline,None reported_Yes
Porsche,Macan Turbo,2021,14526,Gasoline,2.9 Liter Turbo,Automatic,Black,–,None reported,Unknown,79998,1,3,<50k,Porsche_Macan Turbo,11.289756913343513,29357046,Porsche_2021,Porsche_14526,Gasoline_14526,Porsche_1,Gasoline_1,None reported_1,Porsche_Gasoline,None reported_Unknown
Mercedes-Benz,E-Class E 550,2014,43690,Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,23500,0,10,<50k,Mercedes-Benz_E-Class E 550,10.06475570013225,87991660,Mercedes-Benz_2014,Mercedes-Benz_43690,Gasoline_43690,Mercedes-Benz_0,Gasoline_0,None reported_0,Mercedes-Benz_Gasoline,None reported_Yes
Porsche,Macan S,2020,29136,Gasoline,3.0 Liter Turbo,Automatic,White,Red,None reported,Unknown,58598,1,4,<50k,Porsche_Macan S,10.97845584528984,58854720,Porsche_2020,Porsche_29136,Gasoline_29136,Porsche_1,Gasoline_1,None reported_1,Porsche_Gasoline,None reported_Unknown
Cadillac,XT5 Luxury,2017,72060,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Stellar Black Metallic,Shara Beige,None reported,Unknown,24590,1,7,50k-100k,Cadillac_XT5 Luxury,10.110095135210239,145345020,Cadillac_2017,Cadillac_72060,Gasoline_72060,Cadillac_1,Gasoline_1,None reported_1,Cadillac_Gasoline,None reported_Unknown
Toyota,Tundra Platinum,2023,8800,Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,68500,0,1,<50k,Toyota_Tundra Platinum,11.134589024250317,17802400,Toyota_2023,Toyota_8800,Gasoline_8800,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
Nissan,Versa 1.6 SL,2015,85768,Gasoline,109.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,8250,0,9,50k-100k,Nissan_Versa 1.6 SL,9.017968479328726,172822520,Nissan_2015,Nissan_85768,Gasoline_85768,Nissan_0,Gasoline_0,At least 1 accident or damage reported_0,Nissan_Gasoline,At least 1 accident or damage reported_Yes
Mercedes-Benz,AMG GT 53 Base,2022,2235,Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,110000,0,2,<50k,Mercedes-Benz_AMG GT 53 Base,11.608235644774552,4519170,Mercedes-Benz_2022,Mercedes-Benz_2235,Hybrid_2235,Mercedes-Benz_0,Hybrid_0,None reported_0,Mercedes-Benz_Hybrid,None reported_Yes
Buick,Enclave Avenir,2019,121521,Gasoline,3.6L V6 24V GDI DOHC,9-Speed Automatic,Dark Slate Metallic,Ebony / Ebony Accents,None reported,Yes,26772,0,5,100k-150k,Buick_Enclave Avenir,10.195111844220532,245350899,Buick_2019,Buick_121521,Gasoline_121521,Buick_0,Gasoline_0,None reported_0,Buick_Gasoline,None reported_Yes
Porsche,911 GT3,2015,23700,Gasoline,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,144940,0,9,<50k,Porsche_911 GT3,11.884075142663272,47755500,Porsche_2015,Porsche_23700,Gasoline_23700,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
BMW,328 i,2013,124000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,11900,0,11,100k-150k,BMW_328 i,9.38429367909962,249612000,BMW_2013,BMW_124000,Gasoline_124000,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Acura,ILX Premium Package,2018,32260,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,20999,0,6,<50k,Acura_ILX Premium Package,9.952230096524119,65100680,Acura_2018,Acura_32260,Gasoline_32260,Acura_0,Gasoline_0,None reported_0,Acura_Gasoline,None reported_Yes
Lexus,GX 460 Base,2015,92000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,28000,0,9,50k-100k,Lexus_GX 460 Base,10.239959789157341,185380000,Lexus_2015,Lexus_92000,Gasoline_92000,Lexus_0,Gasoline_0,None reported_0,Lexus_Gasoline,None reported_Yes
Toyota,Land Cruiser Base,2010,269885,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,22500,0,14,>200k,Toyota_Land Cruiser Base,10.021270588192511,542468850,Toyota_2010,Toyota_269885,Gasoline_269885,Toyota_0,Gasoline_0,At least 1 accident or damage reported_0,Toyota_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,Corvette Base,2008,51855,Gasoline,430.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Red,None reported,Yes,35900,0,16,50k-100k,Chevrolet_Corvette Base,10.48849257447637,104124840,Chevrolet_2008,Chevrolet_51855,Gasoline_51855,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Mazda,Mazda6 i Touring,2015,124000,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,At least 1 accident or damage reported,Yes,12900,0,9,100k-150k,Mazda_Mazda6 i Touring,9.464982590349763,249860000,Mazda_2015,Mazda_124000,Gasoline_124000,Mazda_0,Gasoline_0,At least 1 accident or damage reported_0,Mazda_Gasoline,At least 1 accident or damage reported_Yes
Jaguar,F-TYPE R,2015,26000,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Red,None reported,Yes,52500,0,9,<50k,Jaguar_F-TYPE R,10.868568448579715,52390000,Jaguar_2015,Jaguar_26000,Gasoline_26000,Jaguar_0,Gasoline_0,None reported_0,Jaguar_Gasoline,None reported_Yes
Audi,A3 2.0T Premium,2018,36500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Silver,At least 1 accident or damage reported,Yes,25500,0,6,<50k,Audi_A3 2.0T Premium,10.146433731146518,73657000,Audi_2018,Audi_36500,Gasoline_36500,Audi_0,Gasoline_0,At least 1 accident or damage reported_0,Audi_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,Camaro 2SS,2022,1400,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,54900,0,2,<50k,Chevrolet_Camaro 2SS,10.913268627497622,2830800,Chevrolet_2022,Chevrolet_1400,Gasoline_1400,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Jeep,Wrangler Unlimited Sport S,2018,17000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,38500,0,6,<50k,Jeep_Wrangler Unlimited Sport S,10.558413520275876,34306000,Jeep_2018,Jeep_17000,Gasoline_17000,Jeep_0,Gasoline_0,None reported_0,Jeep_Gasoline,None reported_Yes
Honda,Civic Sport,2021,42750,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,Black,Black,None reported,Yes,25698,0,3,<50k,Honda_Civic Sport,10.154168446843427,86397750,Honda_2021,Honda_42750,Gasoline_42750,Honda_0,Gasoline_0,None reported_0,Honda_Gasoline,None reported_Yes
Porsche,Cayman Base,2011,67998,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Beige,None reported,Yes,30000,0,13,50k-100k,Porsche_Cayman Base,10.308952660644293,136743978,Porsche_2011,Porsche_67998,Gasoline_67998,Porsche_0,Gasoline_0,None reported_0,Porsche_Gasoline,None reported_Yes
Ford,Mustang GT,2008,64500,Gasoline,300.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,16000,0,16,50k-100k,Ford_Mustang GT,9.680344001221918,129516000,Ford_2008,Ford_64500,Gasoline_64500,Ford_0,Gasoline_0,At least 1 accident or damage reported_0,Ford_Gasoline,At least 1 accident or damage reported_Yes
Toyota,FJ Cruiser Base,2007,102000,Gasoline,239.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,24900,0,17,100k-150k,Toyota_FJ Cruiser Base,10.1226230824528,204714000,Toyota_2007,Toyota_102000,Gasoline_102000,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
Land,Rover Discovery SE,2004,145000,Gasoline,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,None reported,Yes,15500,0,20,100k-150k,Land_Rover Discovery SE,9.648595302907339,290580000,Land_2004,Land_145000,Gasoline_145000,Land_0,Gasoline_0,None reported_0,Land_Gasoline,None reported_Yes
Porsche,718 Boxster S,2018,50000,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,Yes,55000,0,6,<50k,Porsche_718 Boxster S,10.915088464214607,100900000,Porsche_2018,Porsche_50000,Gasoline_50000,Porsche_0,Gasoline_0,At least 1 accident or damage reported_0,Porsche_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,Corvette Base,2004,37622,Gasoline,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,Yes,25500,0,20,<50k,Chevrolet_Corvette Base,10.146433731146518,75394488,Chevrolet_2004,Chevrolet_37622,Gasoline_37622,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Toyota,Avalon Limited,2006,89987,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Green,Beige,None reported,Yes,9499,0,18,50k-100k,Toyota_Avalon Limited,9.158941808890182,180513922,Toyota_2006,Toyota_89987,Gasoline_89987,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
INFINITI,QX80 Base,2015,136390,Gasoline,5.6L V8 32V GDI DOHC,7-Speed Automatic,Black Obsidian,Black,None reported,Yes,20470,0,9,100k-150k,INFINITI_QX80 Base,9.926715678655334,274825850,INFINITI_2015,INFINITI_136390,Gasoline_136390,INFINITI_0,Gasoline_0,None reported_0,INFINITI_Gasoline,None reported_Yes
Cadillac,DeVille Base,1994,90000,–,–,A/T,Green,Beige,At least 1 accident or damage reported,Yes,2990,0,30,50k-100k,Cadillac_DeVille Base,8.003028666384733,179460000,Cadillac_1994,Cadillac_90000,–_90000,Cadillac_0,–_0,At least 1 accident or damage reported_0,Cadillac_–,At least 1 accident or damage reported_Yes
Chevrolet,Camaro 2SS,2015,27000,Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,33000,0,9,<50k,Chevrolet_Camaro 2SS,10.404262840448617,54405000,Chevrolet_2015,Chevrolet_27000,Gasoline_27000,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Jeep,Liberty Renegade,2004,144770,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Beige,Beige,At least 1 accident or damage reported,Yes,6500,0,20,100k-150k,Jeep_Liberty Renegade,8.779557455883728,290119080,Jeep_2004,Jeep_144770,Gasoline_144770,Jeep_0,Gasoline_0,At least 1 accident or damage reported_0,Jeep_Gasoline,At least 1 accident or damage reported_Yes
Toyota,4Runner Trail,2011,157000,Gasoline,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,23500,0,13,150k-200k,Toyota_4Runner Trail,10.06475570013225,315727000,Toyota_2011,Toyota_157000,Gasoline_157000,Toyota_0,Gasoline_0,None reported_0,Toyota_Gasoline,None reported_Yes
BMW,328 i xDrive,2010,132000,Gasoline,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,8500,0,14,100k-150k,BMW_328 i xDrive,9.047821442478408,265320000,BMW_2010,BMW_132000,Gasoline_132000,BMW_0,Gasoline_0,At least 1 accident or damage reported_0,BMW_Gasoline,At least 1 accident or damage reported_Yes
Ford,Excursion Limited Ultimate,2002,137000,Diesel,250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,4-Speed A/T,Gold,Gold,None reported,Yes,15000,0,22,100k-150k,Ford_Excursion Limited Ultimate,9.615805480084347,274274000,Ford_2002,Ford_137000,Diesel_137000,Ford_0,Diesel_0,None reported_0,Ford_Diesel,None reported_Yes
Lexus,IS 300 Base,2018,50992,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,28000,0,6,50k-100k,Lexus_IS 300 Base,10.239959789157341,102901856,Lexus_2018,Lexus_50992,Gasoline_50992,Lexus_0,Gasoline_0,At least 1 accident or damage reported_0,Lexus_Gasoline,At least 1 accident or damage reported_Yes
Cadillac,CTS Performance,2010,105760,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,12900,0,14,100k-150k,Cadillac_CTS Performance,9.464982590349763,212577600,Cadillac_2010,Cadillac_105760,Gasoline_105760,Cadillac_0,Gasoline_0,None reported_0,Cadillac_Gasoline,None reported_Yes
Lexus,LC 500 Base,2018,29800,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,68495,0,6,<50k,Lexus_LC 500 Base,11.13451602888549,60136400,Lexus_2018,Lexus_29800,Gasoline_29800,Lexus_0,Gasoline_0,None reported_0,Lexus_Gasoline,None reported_Yes
BMW,540 i xDrive,2019,21000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,At least 1 accident or damage reported,Yes,42000,0,5,<50k,BMW_540 i xDrive,10.645424897265505,42399000,BMW_2019,BMW_21000,Gasoline_21000,BMW_0,Gasoline_0,At least 1 accident or damage reported_0,BMW_Gasoline,At least 1 accident or damage reported_Yes
Chevrolet,Corvette Base,1998,152195,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,9900,0,26,150k-200k,Chevrolet_Corvette Base,9.20029003612268,304085610,Chevrolet_1998,Chevrolet_152195,Gasoline_152195,Chevrolet_0,Gasoline_0,None reported_0,Chevrolet_Gasoline,None reported_Yes
Hummer,H2 Base,2006,169900,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Orange,Black,At least 1 accident or damage reported,Yes,16900,0,18,150k-200k,Hummer_H2 Base,9.735068900911164,340819400,Hummer_2006,Hummer_169900,Gasoline_169900,Hummer_0,Gasoline_0,At least 1 accident or damage reported_0,Hummer_Gasoline,At least 1 accident or damage reported_Yes
Volvo,XC90 3.2,2008,196000,Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,None reported,Yes,6499,0,16,150k-200k,Volvo_XC90 3.2,8.77940359789435,393568000,Volvo_2008,Volvo_196000,Gasoline_196000,Volvo_0,Gasoline_0,None reported_0,Volvo_Gasoline,None reported_Yes
Jeep,Wrangler Unlimited Sahara,2009,180036,Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,9100,0,15,150k-200k,Jeep_Wrangler Unlimited Sahara,9.116029692504942,361692324,Jeep_2009,Jeep_180036,Gasoline_180036,Jeep_0,Gasoline_0,At least 1 accident or damage reported_0,Jeep_Gasoline,At least 1 accident or damage reported_Yes
Land,Rover Discovery HSE LUXURY,2017,57918,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,33500,0,7,50k-100k,Land_Rover Discovery HSE LUXURY,10.419300717813158,116820606,Land_2017,Land_57918,Gasoline_57918,Land_0,Gasoline_0,None reported_0,Land_Gasoline,None reported_Yes
BMW,340 i,2017,98600,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,26500,0,7,50k-100k,BMW_340 i,10.184900011974314,198876200,BMW_2017,BMW_98600,Gasoline_98600,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Ford,F-250 Lariat,2018,120000,Diesel,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,55000,0,6,100k-150k,Ford_F-250 Lariat,10.915088464214607,242160000,Ford_2018,Ford_120000,Diesel_120000,Ford_0,Diesel_0,At least 1 accident or damage reported_0,Ford_Diesel,At least 1 accident or damage reported_Yes
BMW,M3 Competition,2022,14269,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Orange,None reported,Yes,80000,0,2,<50k,BMW_M3 Competition,11.289781913656018,28851918,BMW_2022,BMW_14269,Gasoline_14269,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Lexus,LC 500 Base,2022,6875,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,89000,0,2,<50k,Lexus_LC 500 Base,11.396391648714276,13901250,Lexus_2022,Lexus_6875,Gasoline_6875,Lexus_0,Gasoline_0,None reported_0,Lexus_Gasoline,None reported_Yes
Honda,CR-V Touring,2019,55100,Gasoline,1.5L I4 16V GDI DOHC Turbo,Automatic CVT,White,Gray,None reported,Unknown,28324,1,5,50k-100k,Honda_CR-V Touring,10.251464780771665,111246900,Honda_2019,Honda_55100,Gasoline_55100,Honda_1,Gasoline_1,None reported_1,Honda_Gasoline,None reported_Unknown
Porsche,Panamera S,2012,49000,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,No,Unknown,41500,1,12,<50k,Porsche_Panamera S,10.63344870621879,98588000,Porsche_2012,Porsche_49000,Gasoline_49000,Porsche_1,Gasoline_1,No_1,Porsche_Gasoline,No_Unknown
BMW,750 i,2009,74600,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,Yes,15000,0,15,50k-100k,BMW_750 i,9.615805480084347,149871400,BMW_2009,BMW_74600,Gasoline_74600,BMW_0,Gasoline_0,None reported_0,BMW_Gasoline,None reported_Yes
Audi,A7 3.0T Premium,2019,45900,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,41500,0,5,<50k,Audi_A7 3.0T Premium,10.63344870621879,92672100,Audi_2019,Audi_45900,Hybrid_45900,Audi_0,Hybrid_0,At least 1 accident or damage reported_0,Audi_Hybrid,At least 1 accident or damage reported_Yes
Chrysler,200 Limited,2015,95271,E85 Flex Fuel,184.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,No,Unknown,12468,1,9,50k-100k,Chrysler_200 Limited,9.430920640887228,191971065,Chrysler_2015,Chrysler_95271,E85 Flex Fuel_95271,Chrysler_1,E85 Flex Fuel_1,No_1,Chrysler_E85 Flex Fuel,No_Unknown
Ford,F-150 XL,2021,88883,Gasoline,2.7L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Agate Black Metallic,Black,None reported,Yes,33172,0,3,50k-100k,Ford_F-150 XL,10.409461425571095,179632543,Ford_2021,Ford_88883,Gasoline_88883,Ford_0,Gasoline_0,None reported_0,Ford_Gasoline,None reported_Yes
Dodge,Grand Caravan R/T,2013,43000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Black,None reported,Yes,35000,0,11,<50k,Dodge_Grand Caravan R/T,10.46310334047155,86559000,Dodge_2013,Dodge_43000,E85 Flex Fuel_43000,Dodge_0,E85 Flex Fuel_0,None reported_0,Dodge_E85 Flex Fuel,None reported_Yes
Ford,Focus SE,2018,33700,E85 Flex Fuel,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,At least 1 accident or damage reported,Yes,12000,0,6,<50k,Ford_Focus SE,9.392661928770137,68006600,Ford_2018,Ford_33700,E85 Flex Fuel_33700,Ford_0,E85 Flex Fuel_0,At least 1 accident or damage reported_0,Ford_E85 Flex Fuel,At least 1 accident or damage reported_Yes
